,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Kahului,US,20.8947,-156.47,84.22,72,20,20.71,few clouds
207,Sioux Lookout,CA,50.1001,-91.917,62.67,42,40,16.11,scattered clouds
208,Samarai,PG,-10.6167,150.6667,81.03,83,100,10.63,overcast clouds
209,Buraydah,SA,26.326,43.975,95.45,11,13,10.56,few clouds
210,Terney,RU,45.0503,136.6092,65.16,85,100,3.65,overcast clouds
211,Richards Bay,ZA,-28.783,32.0377,63.79,69,0,13.18,clear sky
212,Broome,US,42.2506,-75.833,91.02,47,75,14.97,broken clouds
213,Vao,NC,-22.6667,167.4833,71.24,72,100,19.26,overcast clouds
214,Ulladulla,AU,-35.35,150.4667,52.7,78,100,15.39,moderate rain
215,Dalby,AU,-27.1833,151.2667,56.98,99,100,7.36,light rain
216,Kuytun,RU,54.3419,101.5036,60.19,96,100,8.61,light rain
217,Constitucion,CL,-35.3333,-72.4167,51.53,78,13,10.98,few clouds
218,Shakawe,BW,-18.3667,21.85,59.41,46,63,3.83,broken clouds
219,Staraya Poltavka,RU,50.4772,46.4814,51.24,84,0,9.26,clear sky
220,Mocuba,MZ,-16.8392,36.9856,64.09,98,68,2.51,light rain
221,Faanui,PF,-16.4833,-151.75,78.84,69,2,20.62,clear sky
222,Mayo,US,38.8876,-76.5119,91.81,70,0,16.11,clear sky
223,Kaeo,NZ,-35.1,173.7833,48.33,95,100,5.64,moderate rain
224,Bandarbeyla,SO,9.4942,50.8122,77.31,77,97,30.74,overcast clouds
225,Bocana De Paiwas,NI,12.7857,-85.1227,80.87,84,99,14.12,light rain
226,Channel-Port Aux Basques,CA,47.5702,-59.1367,61.66,78,0,15.12,clear sky
227,Terrace,CA,54.5163,-128.6035,64.31,77,100,0.0,overcast clouds
228,Guerrero Negro,MX,27.9769,-114.0611,77.07,58,1,18.5,clear sky
229,Ponta Do Sol,PT,32.6667,-17.1,73.0,76,14,1.95,few clouds
230,Manta,EC,-0.95,-80.7333,76.69,70,82,15.26,broken clouds
